"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class"
1000113,"  112P/Urata-Niijima",112P,"JPL 35",1.8,0.5875,3.536,1.459,24.20,31.93,212.31,5.61,2456468.00,"Davide Farnocchia",1986-10-04,2020-04-25,617,21.35,JFc
1000146,"  113P/Spitaler",113P,"JPL 81",2.2,0.4245,3.682,2.119,5.78,14.39,13.01,5.24,2457136.26,"Otto Matic",1890-11-17,2023-04-15,879,50.03,JFc
1000114,"  114P/Wiseman-Skiff",114P,"JPL K203/20",1.56,0.5545,3.545,1.579,18.27,271.06,264.72,5.51,2458862.74,"Davide Farnocchia",2006-07-21,2020-05-14,1860,172.84,JFc
1000062,"  115P/Maury",115P,"JPL 43",2.22,0.5183,4.271,2.057,11.67,176.08,128.74,6.48,2455839.54,"Otto Matic",1985-08-16,2021-01-08,1382,121.11,JFc
1000122,"  116P/Wild 4",116P,"JPL K223/46",,0.3723,3.484,2.187,3.61,20.99,14.47,4.78,2457399.03,"Shantanu Naidu",2007-10-16,2023-10-04,4667,173.31,ETc
1000121,"  117P/Helin-Roman-Alu 1",117P,"JPL K222/93",9,0.2549,4.092,3.048,8.70,58.88,175.81,5.13,2456744.18,"Davide Farnocchia",2010-11-03,2024-10-02,4771,222.50,JFc
1000150,"  118P/Shoemaker-Levy 4",118P,"JPL K222/54",4.8,0.4551,3.361,1.831,10.09,142.11,276.99,4.89,2459906.43,"Davide Farnocchia",2015-08-15,2024-05-31,1768,314.44,JFc
1000120,"  119P/Parker-Hartley",119P,"JPL 122",,0.2959,4.295,3.024,5.18,243.68,55.70,5.57,2456751.46,"Otto Matic",1986-09-29,2024-05-06,3237,181.86,JFc
1000116,"  120P/Mueller 1",120P,"JPL 25",3.0,0.3365,4.136,2.744,8.79,4.44,125.57,5.53,2453277.94,"Otto Matic",1987-10-18,2021-12-09,147,30.01,JFc
1000141,"  121P/Shoemaker-Holt 2",121P,"JPL 68",3.24,0.3399,4.053,2.675,19.11,97.37,132.71,5.43,2453262.90,"Otto Matic",1989-03-04,2024-04-30,720,10.60,JFc
1000156,"  122P/de Vico",122P,"JPL 27",,0.9627,17.68,0.659,85.38,79.62,3.77,34.70,2449996.50,"M.S.W. Keesey",1846-03-02,1996-06-25,294,13.00,HTC
1000164,"  123P/West-Hartley",123P,"JPL K192/7",,0.4493,3.861,2.126,15.35,46.53,199.61,5.59,2458518.84,"Shantanu Naidu",2010-09-12,2019-08-04,3125,102.92,JFc
1000142,"  124P/Mrkos",124P,"JPL 65",,0.5039,3.316,1.645,31.53,0.41,10.34,4.99,2456757.12,"Otto Matic",1991-03-15,2024-09-10,2934,183.71,JFc
1000162,"  125P/Spacewatch",125P,"JPL 57",1.6,0.5127,3.126,1.523,9.99,153.20,159.61,4.73,2456340.58,"Shantanu Naidu",1991-09-08,2024-09-25,1293,87.15,JFc
1000047,"  126P/IRAS",126P,"JPL K233/38",3.2,0.6963,5.64,1.713,45.87,357.86,303.39,9.57,2460130.86,"Davide Farnocchia",1996-08-08,2024-02-15,1714,356.52,JFC
1000127,"  127P/Holt-Olmstead",127P,"JPL K223/28",,0.3607,3.451,2.206,14.30,13.65,329.58,4.70,2457465.33,"Davide Farnocchia",2009-06-03,2023-02-14,909,6.71,JFc
1003475,"  128P/Shoemaker-Holt 1",128P,"JPL K172/11",,0.3220,4.505,3.054,4.36,214.34,247.33,5.96,2457763.64,"Davide Farnocchia",2006-08-22,2018-03-21,699,210.50,JFc
1000180,"  129P/Shoemaker-Levy 3",129P,"JPL K223/31",,0.0920,4.31,3.913,3.43,185.29,328.57,4.71,2456696.82,"Davide Farnocchia",2002-11-04,2024-06-05,709,308.79,ETc
1000134,"  130P/McNaught-Hughes",130P,"JPL 74",4.2,0.4636,3.401,1.824,6.03,72.03,238.69,4.98,2458135.60,"Davide Farnocchia",1991-09-14,2024-10-11,1776,243.45,JFc
1000123,"  131P/Mueller 2",131P,"JPL 40",,0.3430,3.68,2.418,7.36,214.23,295.10,4.94,2455934.35,"Davide Farnocchia",1990-09-15,2020-01-30,741,179.63,JFc
1000133,"  132P/Helin-Roman-Alu 2",132P,"JPL K212/20",,0.5647,3.886,1.692,5.38,174.00,354.84,6.08,2459531.61,"Shantanu Naidu",2014-08-30,2022-04-02,1323,216.35,JFc
1000058,"  134P/Kowal-Vavrova",134P,"JPL 21",,0.5872,6.229,2.572,4.35,202.12,339.56,9.89,2456798.95,"Otto Matic",1983-05-08,2015-09-08,1061,18.56,JFc
1000138,"  135P/Shoemaker-Levy 8",135P,"JPL 20",3.8,0.2902,3.828,2.717,6.05,213.36,225.43,4.94,2451523.00,"Otto Matic",1992-03-30,2022-04-29,115,22.70,JFc
1000124,"  136P/Mueller 3",136P,"JPL K253/4",,0.2913,4.202,2.978,9.42,137.45,310.87,5.43,2457539.94,"Davide Farnocchia",2007-07-16,2024-10-05,573,225.23,JFc
