"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class","moid"
20111253,"111253 (2001 XU10)",111253,"JPL 330",3.006,0.4394,1.754,0.983,42.02,310.15,62.23,2.52,2460453.86,"Otto Matic",2000-02-08,2024-10-06,1868,6.97,APO,0.0287
20136617,"136617 (1994 CC)",136617,"JPL 172",,0.4169,1.638,0.955,4.68,268.51,103.64,2.32,2460380.02,"Otto Matic",1988-09-14,2022-12-25,718,24.92,APO,0.0152
20136618,"136618 (1994 CN2)",136618,"JPL 250",,0.3948,1.573,0.952,1.44,99.34,340.11,2.19,2460640.31,"Otto Matic",1994-02-15,2024-06-25,1389,248.28,APO,0.0127
20136795,"136795 Tatsunokingo (1997 BQ)",136795,"JPL 93",,0.4780,1.747,0.912,10.99,50.13,340.73,2.58,2460645.64,"Otto Matic",1997-01-16,2023-11-03,418,147.57,APO,0.0342
20136849,"136849 (1998 CS1)",136849,"JPL 166",,0.5785,1.492,0.629,7.79,110.68,204.65,2.35,2460887.62,"Otto Matic",1998-02-09,2024-10-07,702,97.80,APO,0.0199
20137108,"137108 (1999 AN10)",137108,"JPL 100",,0.5621,1.459,0.639,39.93,314.34,177.03,2.28,2460284.10,"Otto Matic",1955-01-26,2022-01-13,410,268.33,APO,0.000509
20137120,"137120 (1999 BJ8)",137120,"JPL 87",,0.5490,1.901,0.857,8.97,339.46,272.88,2.94,2460832.15,"Otto Matic",1999-01-14,2021-11-01,469,222.00,APO,0.0218
20137126,"137126 (1999 CF9)",137126,"JPL 143",,0.6012,1.772,0.707,5.55,156.87,280.89,2.84,2460789.91,"Otto Matic",1999-01-15,2023-11-20,701,90.54,APO,0.0181
20137427,"137427 (1999 TF211)",137427,"JPL 162",,0.6116,2.44,0.948,39.49,347.91,132.56,3.93,2460087.92,"Otto Matic",1999-10-06,2024-09-05,827,162.38,APO,0.0257
20138095,"138095 (2000 DK79)",138095,"JPL 178",,0.4145,1.777,1.040,60.69,43.46,220.12,2.51,2460936.60,"Otto Matic",1986-04-09,2024-06-08,868,2.58,AMO,0.0493
20138127,"138127 (2000 EE14)",138127,"JPL 161",0.754,0.5331,0.6618,0.309,26.46,155.75,76.31,1.01,2460558.81,"Otto Matic",2000-03-04,2023-05-13,1099,197.86,ATE,0.0219
20138175,"138175 (2000 EE104)",138175,"JPL 265",,0.2932,1.004,0.710,5.24,25.50,52.66,1.30,2460546.75,"Otto Matic",2000-03-11,2024-01-30,1336,280.87,APO,0.00828
20138404,"138404 (2000 HA24)",138404,"JPL 112",,0.3186,1.139,0.776,2.16,309.35,139.80,1.50,2460428.14,"Otto Matic",1982-07-20,2023-05-21,1678,142.20,APO,0.0272
20138524,"138524 (2000 OJ8)",138524,"JPL 197",,0.5678,2.358,1.019,6.25,226.58,207.91,3.70,2461159.26,"Otto Matic",2000-07-30,2023-04-13,1033,181.27,AMO,0.0287
20138727,"138727 (2000 SU180)",138727,"JPL 51",,0.6052,2.105,0.831,11.92,327.89,289.27,3.38,2460819.64,"Otto Matic",2000-09-27,2021-09-13,180,136.32,APO,0.0335
20138971,"138971 (2001 CB21)",138971,"JPL 303",,0.3334,1.034,0.689,7.92,353.67,115.89,1.38,2460476.93,"Otto Matic",2001-02-02,2024-09-30,2084,271.93,APO,0.0232
20139211,"139211 (2001 GN2)",139211,"JPL 65",,0.4518,1.86,1.020,26.05,173.53,106.42,2.70,2460326.66,"Otto Matic",1999-09-07,2022-09-18,246,3.58,AMO,0.0276
